"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-JY-A6FH-01A-11R-A336-31",1.40290299177988,4.59670049461807,7.10690866651639,4.26514510117622,8.80439086789298
"TCGA-LN-A8HZ-01A-11R-A36D-31",-1.00881925761481,6.74297955475689,5.4076362743725,7.92633323641175,9.43269957434049
"TCGA-LN-A49S-01A-11R-A24K-31",3.82997612400976,5.13224633975823,6.39910203625387,6.1200516091638,10.6991943824727
"TCGA-R6-A6XQ-01B-11R-A336-31",7.65254366436905,6.79632804545644,5.99423516047921,3.57931001574858,9.34908329212562
"TCGA-L5-A43J-01A-12R-A24K-31",3.36860602618804,8.25960205742495,5.33845261174224,8.76013305814944,9.4933946185567
"TCGA-L5-A8NG-01A-11R-A37I-31",9.29869411214582,7.15001010897252,9.02189019630055,6.1605985719049,8.97372014198402
"TCGA-JY-A93D-01A-11R-A38D-31",10.0196022284224,6.27014066566042,6.1851263072145,5.0660602726478,7.92395293227074
"TCGA-JY-A6FG-01A-11R-A336-31",2.53018549252049,4.60876953616799,5.93617474291952,6.38767199899841,10.3302952509275
"TCGA-JY-A93F-01A-21R-A37I-31",-2.16640796493669,5.21770276156178,5.89595037333817,5.93647278383669,10.2414225880337
"TCGA-VR-A8EQ-01A-11R-A36D-31",12.462681638728,6.38883306496137,7.14392861797714,5.25941446982297,9.12287099372455
"TCGA-L5-A8NS-01A-12R-A37I-31",8.82067614089528,7.32742298972329,7.30049949949882,5.89750736013087,9.2650138145208
"TCGA-2H-A9GN-01A-11R-A37I-31",7.5988656563696,6.65363556391381,6.24548503535515,5.31679059013782,7.46946424615149
"TCGA-LN-A9FQ-01A-31R-A38D-31",0.82987133258925,6.27638104973421,6.19938528572822,7.1188421875432,9.07808660212368
"TCGA-R6-A6KZ-01A-11R-A31P-31",7.07831927900049,6.03874966564589,7.28438565769433,5.4370637267738,6.30397761797485
"TCGA-Z6-A8JE-01A-11R-A37I-31",1.60772717434974,6.6784374144134,6.80750171117172,5.94110711836571,10.9003267391564
"TCGA-VR-AA4G-01A-11R-A37I-31",3.06079205332947,5.90622128195232,5.78248422076821,7.89954065370887,9.20652344172256
"TCGA-VR-A8EU-01A-11R-A36D-31",-1.75240028543374,6.39849607954711,5.28416793175299,7.24083624141539,9.81141002394717
"TCGA-V5-AASW-01A-11R-A406-31",-2.32192809488736,7.52234137242576,8.26403348653251,5.70795836652363,7.40821569112496
"TCGA-Z6-AAPN-01A-11R-A406-31",-2.32192809488736,5.49703076871981,4.69910714299498,8.1311874057076,9.63335935810795
"TCGA-VR-A8EP-01A-31R-A406-31",-2.32192809488736,6.20307152957847,6.40350613225322,5.97747303692797,10.7589705948048
"TCGA-2H-A9GH-01A-11R-A37I-31",11.032281118819,5.25848052466813,6.76798867937091,4.67212217081822,9.0713458636942
"TCGA-LN-A49W-01A-11R-A260-31",0.355754711668441,5.51591074224529,5.12312771309317,7.26944701491021,8.26631920029669
"TCGA-L5-A8NH-01A-11R-A37I-31",8.6480934399555,6.10954585909386,6.80479833607675,6.70988879821654,7.43764860592796
"TCGA-LN-A49P-01A-11R-A24K-31",2.87261724975191,5.68951284442021,5.34528594494838,5.82586389679634,10.9311912415423
"TCGA-L5-A4OG-01A-11R-A260-31",11.0566263895685,7.12406529551685,6.18313515601647,6.0232258578021,9.25574324715414
"TCGA-IG-A3QL-01A-11R-A24K-31",0.449811890232672,6.63200389664493,6.07793479079876,6.58613301474066,8.23764925113343
"TCGA-L5-A8NW-01A-11R-A37I-31",3.07295277477312,6.06757347536535,6.40624732659737,6.45988023413974,10.0955953000845
"TCGA-LN-A4A4-01A-11R-A260-31",0.53534980958428,5.63310809137024,6.74473894939806,8.44120113320505,9.30258237893374
"TCGA-IG-A3YC-01A-11R-A24K-31",2.20963805701947,5.09186738367085,5.79690972652465,6.60838924416946,9.61840623380579
"TCGA-L5-A4OT-01A-11R-A28J-31",10.5202040448188,6.21652562173103,6.13403900123868,5.62795045018194,7.7097514975575
"TCGA-L5-A8NT-01A-11R-A37I-31",6.44252081820672,8.09521838035605,6.64128168888663,6.29167442053012,10.1797700565423
"TCGA-Z6-A9VB-01A-21R-A37I-31",0.311585544628086,6.08696177538936,6.38188593409572,6.78407398462204,10.5838742614654
"TCGA-VR-AA4D-01A-11R-A37I-31",-1.18246894324329,6.96752100146016,11.7037297921357,4.32600318623034,8.27565763971718
"TCGA-L5-A8NI-01A-11R-A37I-31",10.2066795910556,4.76788541953027,7.59805758884461,4.41347645662848,7.86366645378486
"TCGA-LN-A4MQ-01A-11R-A28J-31",1.02347732401781,6.40177182062545,6.15324883132416,7.03167761547125,10.0359325492484
"TCGA-L7-A6VZ-01A-12R-A336-31",9.49375067837372,6.84063915774037,7.70182441705788,5.63175324511125,8.7642655184514
"TCGA-R6-A8W8-01B-11R-A37I-31",7.29124652560187,5.80146300146679,7.50097964843521,10.1645835119202,7.77597181098206
"TCGA-2H-A9GG-01A-11R-A37I-31",9.53739747856726,5.79064639440145,3.56776617699795,3.63275837398485,6.85270894824312
"TCGA-LN-A5U7-01A-11R-A31P-31",2.04987794904251,6.42704450762508,4.77911878540723,9.15169772344984,9.03284688880941
