"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-IN-A7NU",8.60170961733348,8.27479377798167,5.9082234840231,5.30099155444947,10.0507106042588
"TCGA-BR-7716",6.2768901280156,6.39157047608022,6.8602721288775,4.72666354688126,6.54978867045194
"TCGA-BR-8367",9.42689385986199,6.50764710165868,7.12915482027049,6.03080207511426,7.43383586700547
"TCGA-CD-8528",2.17730597424455,8.00912495828948,5.39921032238707,9.96843180071004,8.04767462748705
"TCGA-CD-A4MH",5.77407349624936,5.50395055901081,5.63652487150707,4.57410471190123,2.52364168018431
"TCGA-BR-7196",11.1995588636549,5.21737942997335,6.00595632883858,4.67507677891201,7.60554909734905
"TCGA-BR-8372",2.7355501265517,5.97774871267891,5.59884138075995,3.78732524376273,0.886497173237625
"TCGA-D7-A6EY",9.16979905969433,6.7612629420074,7.24666744410858,4.75121107627325,6.19111252858819
"TCGA-CD-5801",9.85792253237149,6.07835038849339,5.97100973980904,3.22147443940798,9.04369802281995
"TCGA-F1-A72C",10.7919001356461,5.74659750464208,6.02710447003892,4.85196454130598,7.71725456339162
"TCGA-BR-A4J9",5.5206855937595,4.28011198191874,4.61830300927683,5.64335879697783,3.85211519027313
"TCGA-B7-A5TI",9.82954946389118,6.62963760107138,7.10979348049384,5.2195505681127,8.10829074875538
"TCGA-IN-A6RJ",5.07362319515464,3.25856013596231,6.992703882819,5.81286466101153,10.8617883340463
"TCGA-BR-8683",5.10095516101637,9.19075400941353,7.23595762451586,7.27171417974037,7.83440920471683
"TCGA-RD-A8N1",11.2106913802321,5.10681784420971,5.96452179228791,5.10714594128975,8.35221258583129
"TCGA-D7-8578",7.39626909929761,7.30049201354031,7.27377312803824,5.46289413125817,8.99132553499669
"TCGA-3M-AB47",3.74269648665683,5.04262810841159,5.11371473704719,4.32269105131527,3.00093591586052
"TCGA-D7-6519",5.3342089919482,6.16407405920017,7.08004195427923,5.13270758017175,6.1062970908891
"TCGA-MX-A663",7.81808700632395,5.46480342205713,6.09637181841461,5.29952326456484,7.14030203399473
"TCGA-VQ-A925",10.9212259075174,6.25432977673304,8.10070349879417,5.35701422230847,8.37365039826717
"TCGA-HU-A4H6",10.2240477727377,5.1740376355143,5.61738355145073,3.82412101147709,8.44478192521766
"TCGA-CG-4440",5.80387084221096,12.2253682672239,5.53184040692615,6.26204999626831,3.83339083956439
"TCGA-D7-A4YU",2.87483148635788,7.88089078209411,6.10762867841815,5.67998553181569,6.20707066242125
"TCGA-D7-8573",11.0098983335228,7.04250379568652,10.8142514132125,0.621270348571689,9.17940027294026
"TCGA-VQ-A924",5.09151005528698,6.52402527544661,6.28212691025177,5.47372043270674,8.62391481111255
"TCGA-VQ-AA68",7.16088031210207,8.4760767867672,7.94846566142691,7.26388913810404,9.30529222460835
"TCGA-CD-8531",-0.273384758415273,5.24362781088616,1.84104430705727,0.850064766215066,-0.26109602779882
"TCGA-VQ-A928",7.8351797033091,2.82710714769994,6.63719791893091,5.91135134058186,4.36585706481719
"TCGA-FP-8631",10.7558618960336,5.63261493189105,9.45629863952817,4.48360833055597,9.49871870093129
"TCGA-BR-A4CS",8.06789608566048,4.93689583020391,6.0093411935764,2.1530683139956,8.17831883495193
"TCGA-BR-6456",4.73270421913022,7.7027380359085,6.4203460924721,5.75796234184402,8.60484011492277
"TCGA-D7-8575",11.5419473627258,6.24592612028424,7.37814954088787,7.42477245606169,9.32060345292052
"TCGA-D7-8574",3.46061934132564,5.3260745552071,6.59590214223384,5.22912025106283,3.42667260575947
"TCGA-BR-6454",6.79688176949238,5.67123033820552,7.15496363692058,4.57592277948494,7.72215357916969
"TCGA-VQ-A8PK",8.37945201956763,6.64560937236275,7.447322927051,5.09776677958162,8.3253222530837
"TCGA-VQ-A8DZ",5.16570596448686,5.65337218806658,12.0948931499987,5.35809420520942,7.65457738704611
"TCGA-IN-A6RS",2.18325391271711,5.62575281268602,7.61172054839921,4.88415763528195,8.51320698015556
"TCGA-BR-A4CR",6.63626355474396,7.32728378775998,2.58718574229487,4.84996774016873,6.42584290429199
"TCGA-IN-AB1X",7.9125281071834,6.81691372763578,6.24660160042422,6.55475862970891,10.0736093878845
"TCGA-D7-6524",9.58276965763788,6.33902762345078,6.70498839959685,4.98440336410987,9.0406932816502
"TCGA-BR-7958",11.066231195862,7.2465914198041,6.17241558880586,4.80829671625086,8.92153739478834
"TCGA-VQ-A92D",10.9846080375863,6.69771917019259,8.42287255403804,5.13464919692971,9.46771609685145
"TCGA-BR-6710",10.9372757329001,4.32219273069469,5.48725866515322,3.92406692204494,6.20620772933748
"TCGA-D7-8570",11.0459188318061,4.47591951937901,5.65776608426112,3.52223613514343,7.805635142059
"TCGA-CG-5720",8.10762376828923,5.51600073061007,6.83491641982525,4.63911361982533,2.27186921015391
"TCGA-BR-A4IV",6.30971477937122,4.68563890419789,5.008138194649,5.10908866454214,5.82249134166273
"TCGA-HU-A4H2",10.1681104696442,4.36150642546577,5.86954900995805,4.9000953986349,8.36979895220885
"TCGA-BR-4371",-0.298242218470149,7.22058395006174,6.29204685531109,5.24623048976045,7.35949440897771
"TCGA-D7-A747",1.07556205428879,4.22303738633006,5.26093050772542,5.42177500845108,2.29924240364294
