"","TROP2","CLDN18","HER2","cMET","EGFR"
"TCGA-IB-7885-01A-11R-2156-07",10.1238294493922,9.20238000773688,6.42558556112832,6.81485291456739,5.06687240623167
"TCGA-2J-AABO-01A-21R-A41B-07",9.67354321808246,8.73697763015229,6.63890281644057,6.16685281437604,4.68197061461497
"TCGA-F2-6879-01A-11R-2156-07",9.48401122134336,10.6148805546023,6.59553075852621,6.35633632951212,4.69379140159289
"TCGA-HV-AA8V-01A-11R-A41B-07",9.80769080348015,5.70598303464803,6.40972996210896,5.28925514822603,4.39791890295567
"TCGA-FB-AAPZ-01A-11R-A41B-07",9.79034666627742,5.67615374422183,6.80406299333277,7.86376952277478,4.93800730600141
"TCGA-XN-A8T5-01A-12R-A36G-07",8.91655688263675,-0.383374276982905,5.73799639790848,6.6830036830125,4.38319705459088
"TCGA-FB-AAQ6-01A-11R-A41B-07",8.70709769680799,9.79739270586647,6.6268729463267,6.73277444754992,3.84635118700293
"TCGA-RB-A7B8-01A-12R-A33R-07",8.80140724213645,9.50961781657281,6.57974892894708,5.71430364433613,3.79179246944686
"TCGA-FB-A78T-01A-12R-A32O-07",8.79330411412679,10.1029781664885,6.88993396965029,5.98482104194437,3.91855461859383
"TCGA-HZ-A77P-01A-11R-A33R-07",8.04686007863346,6.31401977845379,6.06788879102336,5.28526924769021,4.66390269448281
"TCGA-HZ-7920-01A-11R-2204-07",6.81535073765819,-0.414915123806722,4.74972593666562,5.51687007387159,5.22874069320253
"TCGA-3A-A9IO-01A-11R-A38C-07",3.37667780980139,-1.25779588549242,2.76704503185235,1.59438518753629,0.53820853928299
"TCGA-HZ-7924-01A-11R-2156-07",7.24490997051754,7.06359625698889,6.89419414643782,6.58571922005016,5.40938257678497
"TCGA-IB-7888-01A-11R-2156-07",7.57004021354364,10.6522053473282,5.77430193582358,5.27811059445278,4.30166818178479
"TCGA-HZ-A49H-01A-11R-A26U-07",8.07770807216649,9.08598418637033,5.31469717850033,4.35209073368893,3.27602933152938
